date,min,max,median,q1,q3,stdev,count
2022-11-07T00:00:00.000Z,25,57,34,30,45,8.55,186
2022-11-08T00:00:00.000Z,6,61,44,23,53,16.479,183
2022-11-09T00:00:00.000Z,4,51,24,18.5,33.5,11.807,197
2022-11-10T00:00:00.000Z,8,29,20,12,24,6.696,97
2022-11-11T00:00:00.000Z,17,63,44,34,51,11.5,117
2022-11-12T00:00:00.000Z,16,60,42,21,53,14.937,118
2022-11-13T00:00:00.000Z,7,47,32,16,42,12.974,103
2022-11-14T00:00:00.000Z,17,69,47,31.5,62,15.93,97
2022-11-15T00:00:00.000Z,25,53,44,39,45,6.679,102
2022-11-16T00:00:00.000Z,13,58,54,47.5,55,13.21,72
2022-11-17T00:00:00.000Z,19,52,40,34,46,7.613,63
2022-11-18T00:00:00.000Z,41,67,64,55.5,66,7.882,77
2022-11-19T00:00:00.000Z,18,67,56,32,60,16.099,144
2022-11-20T00:00:00.000Z,7,63,44,19.5,54,18.032,128
2022-11-21T00:00:00.000Z,9,49,37,23.5,45,12.318,101
2022-11-22T00:00:00.000Z,7,45,36,17,43,13.421,95
2022-11-23T00:00:00.000Z,5,43,28,13,38,12.569,97
2022-11-24T00:00:00.000Z,14,46,33,31,39,6.775,138
2022-11-25T00:00:00.000Z,9,59,45,23,54,16.728,146
2022-11-26T00:00:00.000Z,10,44,27,20,37,9.328,125
2022-11-27T00:00:00.000Z,22,68,41,31,51,13.187,199
2022-11-28T00:00:00.000Z,10,54,42,34,49,12.738,150
2022-11-29T00:00:00.000Z,13,55,42,26.5,47.5,12.214,73
2022-11-30T00:00:00.000Z,26,70,38,31,61,15.379,134
2022-12-01T00:00:00.000Z,12,61,49.5,20,58,18.395,148
2022-12-02T00:00:00.000Z,14,38,23,20,25,4.918,128
2022-12-03T00:00:00.000Z,15,49,30.5,18.5,39.5,10.77,84
2022-12-04T00:00:00.000Z,20,50,37,27,44,9.38,121
2022-12-05T00:00:00.000Z,15,54,34,19,41,11.624,123
2022-12-06T00:00:00.000Z,19,59,28,22,44,13.233,126
2022-12-07T00:00:00.000Z,18,56,42.5,25,51,12.928,130
2022-12-08T00:00:00.000Z,12,61,48,31,58,15.881,119
2022-12-09T00:00:00.000Z,11,41,28,18.5,34,8.891,57
2022-12-10T00:00:00.000Z,12,38,23,16,30,7.847,94
2022-12-11T00:00:00.000Z,6,44,25,11,40,14.011,97
2022-12-12T00:00:00.000Z,10,33,24,17,27,6.327,66
2022-12-13T00:00:00.000Z,21,63,46,32.5,58,12.796,132
2022-12-14T00:00:00.000Z,31,60,56,48,58,8.775,73
2022-12-15T00:00:00.000Z,29,56,39,32,46,8.246,91
2022-12-16T00:00:00.000Z,8,64,50,17.5,60,19.84,109
2022-12-17T00:00:00.000Z,13,39,24,17.5,32.5,8.189,141
2022-12-18T00:00:00.000Z,13,46,35.5,23.5,42,10.125,108
2022-12-19T00:00:00.000Z,10,49,38.5,21,45,13.097,142
2022-12-20T00:00:00.000Z,16,49,31,21,42,10.418,147
